,hits,kills,kdRatio,headshots,accuracy,shots,deaths,weapon,weapontype,user,gametype,ranking
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_sm_charlie9,weapon_smg,xBxllin%231862,battle,1
59,7686.0,1995.0,3.3529411764705883,311.0,0.2915228522662621,26365.0,595.0,iw8_sm_mpapa5,weapon_smg,xBxllin%231862,battle,1
60,1648.0,519.0,3.9618320610687023,134.0,0.3506382978723404,4700.0,131.0,iw8_sm_smgolf45,weapon_smg,xBxllin%231862,battle,1
61,2423.0,1111.0,5.215962441314554,391.0,0.27039392924896777,8961.0,213.0,iw8_sm_beta,weapon_smg,xBxllin%231862,battle,1
62,772.0,146.0,4.171428571428572,29.0,0.2810338551146705,2747.0,35.0,iw8_sm_victor,weapon_smg,xBxllin%231862,battle,1
63,1689.0,600.0,8.823529411764708,478.0,0.2943534332520042,5738.0,68.0,iw8_sm_uzulu,weapon_smg,xBxllin%231862,battle,1
64,918.0,891.0,2.5530085959885387,383.0,0.6361746361746362,1443.0,349.0,iw8_sn_sbeta,weapon_marksman,xBxllin%231862,battle,1
65,35.0,98.0,2.9696969696969697,29.0,0.16666666666666666,210.0,33.0,iw8_sn_crossbow,weapon_marksman,xBxllin%231862,battle,1
66,621.0,684.0,4.170731707317073,425.0,0.6179104477611941,1005.0,164.0,iw8_sn_kilo98,weapon_marksman,xBxllin%231862,battle,1
67,544.0,453.0,4.819148936170213,325.0,0.4127465857359636,1318.0,94.0,iw8_sn_mike14,weapon_marksman,xBxllin%231862,battle,1
68,428.0,394.0,2.962406015037594,168.0,0.2589231699939504,1653.0,133.0,iw8_sn_sksierra,weapon_marksman,xBxllin%231862,battle,1
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_me_akimboblunt,weapon_melee,xBxllin%231862,battle,1
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_me_akimboblades,weapon_melee,xBxllin%231862,battle,1
71,0.0,253.0,2.181034482758621,0.0,0.0,0.0,116.0,iw8_knife,weapon_melee,xBxllin%231862,battle,1
72,626.0,644.0,10.0625,594.0,0.7578692493946732,826.0,64.0,iw8_sn_alpha50,weapon_sniper,Hayabusa,xbl,2
73,548.0,559.0,34.9375,497.0,0.8670886075949367,632.0,16.0,iw8_sn_hdromeo,weapon_sniper,Hayabusa,xbl,2
74,467.0,473.0,16.310344827586206,425.0,0.7770382695507487,601.0,29.0,iw8_sn_delta,weapon_sniper,Hayabusa,xbl,2
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_sn_xmike109,weapon_sniper,Hayabusa,xbl,2
92,951.0,855.0,16.764705882352942,721.0,0.4526415992384578,2101.0,51.0,iw8_lm_kilo121,weapon_lmg,Hayabusa,xbl,2
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_lm_mkilo3,weapon_lmg,Hayabusa,xbl,2
94,763.0,666.0,10.918032786885245,557.0,0.4482961222091657,1702.0,61.0,iw8_lm_mgolf34,weapon_lmg,Hayabusa,xbl,2
95,433.0,381.0,23.8125,323.0,0.5204326923076923,832.0,16.0,iw8_lm_lima86,weapon_lmg,Hayabusa,xbl,2
96,854.0,802.0,19.095238095238095,646.0,0.5062240663900415,1687.0,42.0,iw8_lm_pkilo,weapon_lmg,Hayabusa,xbl,2
97,1722.0,1211.0,9.174242424242424,1081.0,0.32180900766211923,5351.0,132.0,iw8_lm_mgolf36,weapon_lmg,Hayabusa,xbl,2
99,577.0,994.0,1.9761431411530812,5.0,0.11104695919938412,5196.0,503.0,iw8_la_rpapa7,weapon_launcher,Hayabusa,xbl,2
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_la_mike32,weapon_launcher,Hayabusa,xbl,2
103,1962.0,1633.0,5.336601307189542,1203.0,0.5959902794653706,3292.0,306.0,iw8_pi_cpapa,weapon_pistol,Hayabusa,xbl,2
104,1495.0,1404.0,19.5,1214.0,0.3364086408640864,4444.0,72.0,iw8_pi_mike9,weapon_pistol,Hayabusa,xbl,2
105,591.0,503.0,4.451327433628318,378.0,0.4553158705701079,1298.0,113.0,iw8_pi_mike1911,weapon_pistol,Hayabusa,xbl,2
106,403.0,305.0,9.242424242424242,244.0,0.4167528438469493,967.0,33.0,iw8_pi_golf21,weapon_pistol,Hayabusa,xbl,2
107,919.0,893.0,12.232876712328768,805.0,0.6925395629238885,1327.0,73.0,iw8_pi_decho,weapon_pistol,Hayabusa,xbl,2
108,1060.0,1014.0,19.5,932.0,0.7085561497326203,1496.0,52.0,iw8_pi_papa320,weapon_pistol,Hayabusa,xbl,2
109,1222.0,795.0,3.4267241379310347,354.0,0.3809226932668329,3208.0,232.0,iw8_ar_falima,weapon_assault_rifle,Hayabusa,xbl,2
110,3474.0,1322.0,3.2803970223325063,818.0,0.2438750438750439,14245.0,403.0,iw8_ar_tango21,weapon_assault_rifle,Hayabusa,xbl,2
111,46972.0,11867.0,1.8670547514159852,4254.0,0.2054858042784024,228590.0,6356.0,iw8_ar_mike4,weapon_assault_rifle,Hayabusa,xbl,2
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_ar_anovember94,weapon_assault_rifle,Hayabusa,xbl,2
113,1558.0,980.0,4.734299516908211,703.0,0.29083442225126005,5357.0,207.0,iw8_ar_falpha,weapon_assault_rifle,Hayabusa,xbl,2
114,2044.0,753.0,3.1638655462184877,495.0,0.2416361272017969,8459.0,238.0,iw8_ar_mcharlie,weapon_assault_rifle,Hayabusa,xbl,2
115,621.0,452.0,7.290322580645161,375.0,0.3380511703864997,1837.0,62.0,iw8_ar_akilo47,weapon_assault_rifle,Hayabusa,xbl,2
116,2284.0,1089.0,9.9,810.0,0.2674159934433907,8541.0,110.0,iw8_ar_kilo433,weapon_assault_rifle,Hayabusa,xbl,2
117,992.0,717.0,9.43421052631579,477.0,0.4008080808080808,2475.0,76.0,iw8_ar_scharlie,weapon_assault_rifle,Hayabusa,xbl,2
118,1060.0,700.0,3.910614525139665,397.0,0.293628808864266,3610.0,179.0,iw8_ar_asierra12,weapon_assault_rifle,Hayabusa,xbl,2
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_ar_galima,weapon_assault_rifle,Hayabusa,xbl,2
120,5542.0,2287.0,3.271816881258941,1449.0,0.24941494149414944,22220.0,699.0,iw8_ar_sierra552,weapon_assault_rifle,Hayabusa,xbl,2
121,0.0,254.0,21.166666666666668,0.0,0.0,0.0,12.0,iw8_me_riotshield,weapon_other,Hayabusa,xbl,2
122,1.0,1.0,1.0,0.0,0.5,2.0,1.0,iw8_sh_mike26,weapon_shotgun,Hayabusa,xbl,2
123,611.0,471.0,2.378787878787879,53.0,0.6990846681922197,874.0,198.0,iw8_sh_charlie725,weapon_shotgun,Hayabusa,xbl,2
124,448.0,336.0,4.602739726027396,180.0,0.5989304812834224,748.0,73.0,iw8_sh_oscar12,weapon_shotgun,Hayabusa,xbl,2
125,912.0,810.0,5.1265822784810124,450.0,0.8085106382978723,1128.0,158.0,iw8_sh_romeo870,weapon_shotgun,Hayabusa,xbl,2
126,761.0,636.0,6.989010989010988,479.0,0.8113006396588486,938.0,91.0,iw8_sh_dpapa12,weapon_shotgun,Hayabusa,xbl,2
127,2632.0,1137.0,4.879828326180258,839.0,0.2634107285828663,9992.0,233.0,iw8_sm_mpapa7,weapon_smg,Hayabusa,xbl,2
128,1395.0,617.0,3.6294117647058814,311.0,0.2704012405504943,5159.0,170.0,iw8_sm_augolf,weapon_smg,Hayabusa,xbl,2
129,1330.0,848.0,31.407407407407412,737.0,0.4088533661235783,3253.0,27.0,iw8_sm_papa90,weapon_smg,Hayabusa,xbl,2
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_sm_charlie9,weapon_smg,Hayabusa,xbl,2
131,28972.0,8344.0,1.9208103130755063,2567.0,0.21684817184985591,133605.0,4344.0,iw8_sm_mpapa5,weapon_smg,Hayabusa,xbl,2
