,hits,kills,headshots,accuracy,shots,deaths,weapon,user,ranking,weapontype_weapon_assault_rifle,weapontype_weapon_launcher,weapontype_weapon_lmg,weapontype_weapon_marksman,weapontype_weapon_melee,weapontype_weapon_other,weapontype_weapon_pistol,weapontype_weapon_shotgun,weapontype_weapon_smg,weapontype_weapon_sniper,gametype_battle,gametype_psn,gametype_xbl
2178,11.0,161.0,1.0,0.037037037037037035,297.0,174.0,iw8_la_kgolf,b Supreme d,13,0,1,0,0,0,0,0,0,0,0,0,0,1
2179,3628.0,1056.0,221.0,0.3260830487147223,11126.0,307.0,iw8_ar_akilo47,SeriousFrosti,49,1,0,0,0,0,0,0,0,0,0,0,1,0
2180,26066.0,4780.0,1084.0,0.29810155535224153,87440.0,2470.0,iw8_sm_mpapa7,DarkestClover,66,0,0,0,0,0,0,0,0,1,0,0,1,0
2181,2404.0,846.0,214.0,0.2675272646338749,8986.0,117.0,iw8_sm_smgolf45,oracle%2321895,14,0,0,0,0,0,0,0,0,1,0,1,0,0
2182,1456.0,532.0,112.0,0.32601880877742945,4466.0,267.0,iw8_ar_falima,Slzzpe-ttv,20,1,0,0,0,0,0,0,0,0,0,0,1,0
2183,0.0,0.0,0.0,0.0,0.0,0.0,iw8_lm_kilo121,Gamer52595,65,0,0,1,0,0,0,0,0,0,0,0,1,0
2184,794.0,527.0,120.0,0.3420939250323137,2321.0,196.0,iw8_pi_decho,xtddxZ%231539,17,0,0,0,0,0,0,1,0,0,0,1,0,0
2185,1839.0,494.0,154.0,0.1956591126715608,9399.0,379.0,iw8_ar_falpha,Sillygoose%2311859,18,1,0,0,0,0,0,0,0,0,0,1,0,0
2186,1151.0,545.0,162.0,0.384692513368984,2992.0,364.0,iw8_sn_mike14,Bdongowns,54,0,0,0,1,0,0,0,0,0,0,0,0,1
2187,214.0,308.0,4.0,0.18854625550660792,1135.0,500.0,iw8_la_rpapa7,johnnylatenight,64,0,1,0,0,0,0,0,0,0,0,0,0,1
2188,410.0,354.0,132.0,0.1363031914893617,3008.0,118.0,iw8_lm_kilo121,Attacking,28,0,0,1,0,0,0,0,0,0,0,0,0,1
2189,0.0,0.0,0.0,0.0,0.0,0.0,iw8_me_akimboblades,L_fras,47,0,0,0,0,1,0,0,0,0,0,0,1,0
2190,65376.0,14020.0,3366.0,0.2770756516211061,235950.0,5830.0,iw8_ar_mike4,Its marceee,15,1,0,0,0,0,0,0,0,0,0,0,0,1
2191,34.0,10.0,2.0,0.2982456140350877,114.0,5.0,iw8_sm_smgolf45,JIIIlllIII%231953,35,0,0,0,0,0,0,0,0,1,0,1,0,0
2192,8193.0,1586.0,305.0,0.2506271030896299,32690.0,946.0,iw8_sm_papa90,b Supreme d,13,0,0,0,0,0,0,0,0,1,0,0,0,1
2193,2239.0,701.0,148.0,0.3101537609087131,7219.0,412.0,iw8_pi_mike9,Damage decrease,19,0,0,0,0,0,0,1,0,0,0,0,0,1
2194,0.0,0.0,0.0,0.0,3.0,0.0,iw8_la_mike32,winters%2311808,62,0,1,0,0,0,0,0,0,0,0,1,0,0
2195,141.0,199.0,46.0,0.281437125748503,501.0,150.0,iw8_sn_crossbow,ryva1%232844,50,0,0,0,1,0,0,0,0,0,0,1,0,0
2196,0.0,1.0,0.0,0.0,27.0,0.0,iw8_la_mike32,easyB%2321571,3,0,1,0,0,0,0,0,0,0,0,1,0,0
2197,4780.0,1193.0,231.0,0.24678610150240074,19369.0,723.0,iw8_lm_lima86,Its marceee,15,0,0,1,0,0,0,0,0,0,0,0,0,1
2198,8998.0,2194.0,399.0,0.23172804532577904,38830.0,1444.0,iw8_sm_papa90,CheekSlapper%231799,25,0,0,0,0,0,0,0,0,1,0,1,0,0
2199,53.0,30.0,10.0,0.3192771084337349,166.0,11.0,iw8_sn_sksierra,willjopp,38,0,0,0,1,0,0,0,0,0,0,0,1,0
2200,0.0,0.0,0.0,0.0,0.0,0.0,iw8_la_juliet,cheesepufftyler,36,0,1,0,0,0,0,0,0,0,0,0,1,0
2201,274.0,199.0,25.0,0.8058823529411765,340.0,107.0,iw8_sh_romeo870,Toxicdeath88,33,0,0,0,0,0,0,0,1,0,0,0,1,0
2202,0.0,0.0,0.0,0.0,0.0,0.0,iw8_me_akimboblades,ccCloudcc,42,0,0,0,0,1,0,0,0,0,0,0,1,0
2203,1057.0,917.0,260.0,0.3265369168983627,3237.0,339.0,iw8_sn_mike14,Skyler Hacks V3,60,0,0,0,1,0,0,0,0,0,0,0,0,1
2204,3860.0,1289.0,322.0,0.3081344296319949,12527.0,827.0,iw8_ar_galima,dtownjvr214,46,1,0,0,0,0,0,0,0,0,0,0,1,0
2205,2951.0,1321.0,143.0,0.4575903240812529,6449.0,970.0,iw8_sh_oscar12,dtownjvr214,46,0,0,0,0,0,0,0,1,0,0,0,1,0
2206,979.0,753.0,72.0,0.6997855611150822,1399.0,573.0,iw8_sh_romeo870,b Supreme d,13,0,0,0,0,0,0,0,1,0,0,0,0,1
2207,1784.0,1413.0,487.0,0.5095686946586689,3501.0,1017.0,iw8_sn_sbeta,Ketameme,6,0,0,0,1,0,0,0,0,0,0,0,1,0
2208,17392.0,4011.0,846.0,0.29235657012220745,59489.0,2319.0,iw8_ar_mike4,Christian524524,31,1,0,0,0,0,0,0,0,0,0,0,1,0
2209,1350.0,820.0,220.0,0.3232758620689655,4176.0,106.0,iw8_ar_asierra12,ChillItWasntMe,10,1,0,0,0,0,0,0,0,0,0,0,0,1
2210,1570.0,1169.0,165.0,0.7893413775766717,1989.0,797.0,iw8_sh_romeo870,Ketameme,6,0,0,0,0,0,0,0,1,0,0,0,1,0
2211,0.0,0.0,0.0,0.0,0.0,0.0,iw8_ar_anovember94,Pvt74thva,52,1,0,0,0,0,0,0,0,0,0,0,1,0
2212,5582.0,6421.0,1928.0,0.5386471099102577,10363.0,1670.0,iw8_sn_hdromeo,SeriousFrosti,49,0,0,0,0,0,0,0,0,0,1,0,1,0
2213,150.0,157.0,38.0,0.3937007874015748,381.0,139.0,iw8_sn_hdromeo,Mephitz%2311649,29,0,0,0,0,0,0,0,0,0,1,1,0,0
2214,0.0,0.0,0.0,0.0,0.0,0.0,iw8_me_akimboblunt,yungswagboi%231286,51,0,0,0,0,1,0,0,0,0,0,1,0,0
2215,3025.0,1170.0,182.0,0.20121058933085006,15034.0,292.0,iw8_lm_mkilo3,xtddxZ%231539,17,0,0,1,0,0,0,0,0,0,0,1,0,0
2216,1476.0,1118.0,128.0,0.8656891495601173,1705.0,582.0,iw8_sh_romeo870,Serkull,12,0,0,0,0,0,0,0,1,0,0,0,0,1
2217,33673.0,8116.0,1142.0,0.2449319532437681,137479.0,4370.0,iw8_sm_mpapa5,Bdongowns,22,0,0,0,0,0,0,0,0,1,0,0,0,1
2218,0.0,0.0,0.0,0.0,0.0,0.0,iw8_sm_victor,Gamer52595,65,0,0,0,0,0,0,0,0,1,0,0,1,0
2219,0.0,0.0,0.0,0.0,0.0,0.0,iw8_lm_mkilo3,ImArmanIII,56,0,0,1,0,0,0,0,0,0,0,0,1,0
2220,12961.0,3479.0,582.0,0.2781270788180511,46601.0,1742.0,iw8_ar_akilo47,vGrimr,40,1,0,0,0,0,0,0,0,0,0,0,0,1
2221,8102.0,1477.0,270.0,0.2535678517776665,31952.0,871.0,iw8_ar_mcharlie,Peppers%2311699,44,1,0,0,0,0,0,0,0,0,0,1,0,0
2222,2182.0,491.0,98.0,0.3106934358536238,7023.0,249.0,iw8_ar_sierra552,ImArmanIII,56,1,0,0,0,0,0,0,0,0,0,0,1,0
2223,1447.0,702.0,212.0,0.3277463193657984,4415.0,521.0,iw8_pi_decho,AtomicCow_,57,0,0,0,0,0,0,1,0,0,0,0,1,0
2224,14180.0,4121.0,960.0,0.2557904610722274,55436.0,1922.0,iw8_ar_scharlie,Damage decrease,19,1,0,0,0,0,0,0,0,0,0,0,0,1
2225,1379.0,622.0,72.0,0.388560157790927,3549.0,452.0,iw8_sh_oscar12,b Supreme d,13,0,0,0,0,0,0,0,1,0,0,0,0,1
2226,1578.0,1204.0,342.0,0.5896860986547086,2676.0,953.0,iw8_sn_sbeta,ImArmanIII,56,0,0,0,1,0,0,0,0,0,0,0,1,0
2227,1105.0,1270.0,524.0,0.5454096742349457,2026.0,406.0,iw8_sn_alpha50,Vegeta%2312910,7,0,0,0,0,0,0,0,0,0,1,1,0,0
2228,1596.0,759.0,179.0,0.3279227450174645,4867.0,517.0,iw8_sn_mike14,Its marceee,15,0,0,0,1,0,0,0,0,0,0,0,0,1
2229,0.0,0.0,0.0,0.0,0.0,0.0,iw8_la_mike32,Bdubzs%231713,8,0,1,0,0,0,0,0,0,0,0,1,0,0
2230,13216.0,3108.0,746.0,0.2374330782221264,55662.0,1690.0,iw8_ar_mike4,Attacking,28,1,0,0,0,0,0,0,0,0,0,0,0,1
