hits,kills,kdRatio,headshots,accuracy,shots,deaths,weapon,weapontype,user,gametype,headShots
0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_me_akimboblades,weapon_melee,easyB%2321571,battle,
0.0,842.0,1.1347708894878705,0.0,0.0,0.0,742.0,iw8_knife,weapon_melee,easyB%2321571,battle,
3108.0,3359.0,3.947121034077556,838.0,0.436088115616669,7127.0,851.0,iw8_sn_alpha50,weapon_sniper,Tequim%231698,battle,
203.0,225.0,3.2142857142857144,62.0,0.46559633027522934,436.0,70.0,iw8_sn_hdromeo,weapon_sniper,Tequim%231698,battle,
57.0,59.0,4.916666666666667,27.0,0.475,120.0,12.0,iw8_sn_delta,weapon_sniper,Tequim%231698,battle,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_sn_xmike109,weapon_sniper,Tequim%231698,battle,
0.0,0.0,,,,0.0,0.0,equip_gas_grenade,tacticals,Tequim%231698,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_snapshot_grenade,tacticals,Tequim%231698,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_decoy,tacticals,Tequim%231698,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_smoke,tacticals,Tequim%231698,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_concussion,tacticals,Tequim%231698,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_hb_sensor,tacticals,Tequim%231698,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_flash,tacticals,Tequim%231698,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_adrenaline,tacticals,Tequim%231698,battle,0.0
0.0,102.0,,,,0.0,0.0,equip_frag,lethals,Tequim%231698,battle,0.0
0.0,396.0,,,,0.0,0.0,equip_thermite,lethals,Tequim%231698,battle,0.0
0.0,148.0,,,,0.0,0.0,equip_semtex,lethals,Tequim%231698,battle,0.0
0.0,460.0,,,,0.0,0.0,equip_claymore,lethals,Tequim%231698,battle,0.0
0.0,225.0,,,,0.0,0.0,equip_c4,lethals,Tequim%231698,battle,0.0
0.0,148.0,,,,0.0,0.0,equip_at_mine,lethals,Tequim%231698,battle,0.0
0.0,85.0,,,,0.0,0.0,equip_throwing_knife,lethals,Tequim%231698,battle,0.0
0.0,14.0,,,,0.0,0.0,equip_molotov,lethals,Tequim%231698,battle,0.0
1434.0,663.0,1.8728813559322033,143.0,0.11991971901655796,11958.0,354.0,iw8_lm_kilo121,weapon_lmg,Tequim%231698,battle,
627.0,294.0,3.1956521739130435,46.0,0.17736916548797738,3535.0,92.0,iw8_lm_mkilo3,weapon_lmg,Tequim%231698,battle,
391.0,197.0,1.4485294117647058,25.0,0.09753055624844101,4009.0,136.0,iw8_lm_mgolf34,weapon_lmg,Tequim%231698,battle,
196.0,109.0,4.954545454545454,9.0,0.23167848699763594,846.0,22.0,iw8_lm_lima86,weapon_lmg,Tequim%231698,battle,
3627.0,1120.0,7.3202614379084965,638.0,0.31313131313131315,11583.0,153.0,iw8_lm_pkilo,weapon_lmg,Tequim%231698,battle,
1422.0,339.0,3.941860465116279,185.0,0.3410889901655073,4169.0,86.0,iw8_lm_mgolf36,weapon_lmg,Tequim%231698,battle,
57.0,33.0,2.75,1.0,0.4253731343283582,134.0,12.0,iw8_la_gromeo,weapon_launcher,Tequim%231698,battle,
10.0,141.0,2.611111111111111,2.0,0.029239766081871343,342.0,54.0,iw8_la_rpapa7,weapon_launcher,Tequim%231698,battle,
0.0,2.0,0.5,0.0,0.0,12.0,4.0,iw8_la_juliet,weapon_launcher,Tequim%231698,battle,
0.0,0.0,0.0,0.0,0.0,2.0,0.0,iw8_la_kgolf,weapon_launcher,Tequim%231698,battle,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_la_mike32,weapon_launcher,Tequim%231698,battle,
561.0,412.0,1.387205387205387,105.0,0.38743093922651933,1448.0,297.0,iw8_pi_cpapa,weapon_pistol,Tequim%231698,battle,
3231.0,969.0,2.2378752886836026,252.0,0.2712618587859961,11911.0,433.0,iw8_pi_mike9,weapon_pistol,Tequim%231698,battle,
270.0,99.0,1.736842105263158,57.0,0.30786773090079816,877.0,57.0,iw8_pi_mike1911,weapon_pistol,Tequim%231698,battle,
267.0,140.0,1.4736842105263157,26.0,0.24929971988795518,1071.0,95.0,iw8_pi_golf21,weapon_pistol,Tequim%231698,battle,
1584.0,1209.0,1.4870848708487086,561.0,0.3493603881782091,4534.0,813.0,iw8_pi_decho,weapon_pistol,Tequim%231698,battle,
